theta_rad,phi_rad,min_eig
0.0,0.0,-148573.19
0.06346651825433926,0.0,-148573.19
0.12693303650867852,0.0,-148573.19
0.1903995547630178,0.0,-148573.19
0.25386607301735703,0.0,-148573.19
0.3173325912716963,0.0,-148573.19
0.3807991095260356,0.0,-148573.19
0.4442656277803748,0.0,-148573.19
0.5077321460347141,0.0,-148573.19
0.5711986642890533,0.0,-148573.19
0.6346651825433925,0.0,-148573.19
0.6981317007977318,0.0,-148573.19
0.7615982190520711,0.0,-148573.19
0.8250647373064104,0.0,-148573.19
0.8885312555607496,0.0,-148573.19
0.9519977738150889,0.0,-148573.19
1.0154642920694281,0.0,-148573.19
1.0789308103237674,0.0,-148573.19
1.1423973285781066,0.0,-148573.19
1.2058638468324459,0.0,-148573.19
1.269330365086785,0.0,-148573.19
1.3327968833411243,0.0,-148573.19
1.3962634015954636,0.0,-148573.19
1.4597299198498028,0.0,-148573.19
1.5231964381041423,0.0,-148573.19
1.5866629563584815,0.0,-148573.19
1.6501294746128208,0.0,-148573.19
1.71359599286716,0.0,-148573.19
1.7770625111214993,0.0,-148573.19
1.8405290293758385,0.0,-148573.19
1.9039955476301778,0.0,-148573.19
1.967462065884517,0.0,-148573.19
2.0309285841388562,0.0,-148573.19
2.0943951023931957,0.0,-148573.19
2.1578616206475347,0.0,-148573.19
2.221328138901874,0.0,-148573.19
2.284794657156213,0.0,-148573.19
2.3482611754105527,0.0,-148573.19
2.4117276936648917,0.0,-148573.19
2.475194211919231,0.0,-148573.19
2.53866073017357,0.0,-148573.19
2.6021272484279097,0.0,-148573.19
2.6655937666822487,0.0,-148573.19
2.729060284936588,0.0,-148573.19
2.792526803190927,0.0,-148573.19
2.8559933214452666,0.0,-148573.19
2.9194598396996057,0.0,-148573.19
2.982926357953945,0.0,-148573.19
3.0463928762082846,0.0,-148573.19
3.1098593944626236,0.0,-148573.19
3.173325912716963,0.0,-148573.19
3.236792430971302,0.0,-148573.19
3.3002589492256416,0.0,-148573.19
3.3637254674799806,0.0,-148573.19
